nr,real,scatter,polyhedron,symm,theta,phi,alpha,size,stretch,axis
1,./real/1/1r.png,./scatter/1/1s.png,Truncated Cuboctahedron,O_h,1.83529,-2.37303,0.254077,0.537252,0.750829,C4
2,./real/1/2r.png,./scatter/1/2s.png,Cuboctahedron,O_h,1.47452,-1.33889,2.13093,0.51615,1.41729,C4
3,./real/1/3r.png,./scatter/1/3s.png,Cuboctahedron,O_h,1.24279,-2.35726,2.15423,0.241826,0.661479,C3
4,./real/1/4r.png,./scatter/1/4s.png,Potato,None,1.73064,-1.13392,-1.29587,0.642978,,
5,./real/1/5r.png,./scatter/1/5s.png,Truncated Cube,O_h,1.57931,-3.13815,-1.38791,0.213295,0.861135,C3
6,./real/1/6r.png,./scatter/1/6s.png,Sphere,SO(3),0,0,0,0.35397,1.17387,{0.243576,0.0256029,-0.969544}
7,./real/1/7r.png,./scatter/1/7s.png,Snub Cube,O,1.57494,-2.23602,0.577185,0.221757,1.215,C2
8,./real/1/8r.png,./scatter/1/8s.png,Icosahedron,I_h,1.36775,0.85548,3.12315,0.694878,0.769942,C5
9,./real/1/9r.png,./scatter/1/9s.png,Cube,O_h,0.847995,0.246453,-2.7306,0.858889,0.713809,C4
10,./real/1/10r.png,./scatter/1/10s.png,Cuboctahedron,O_h,0.801144,-0.261432,-2.40901,0.328809,1.46086,C3
11,./real/1/11r.png,./scatter/1/11s.png,Tetrahedron,T_d,1.39134,0.429359,-1.02604,0.744045,0.782305,C3
12,./real/1/12r.png,./scatter/1/12s.png,Rhombicuboctahedron,O_h,0.680963,-2.69051,-2.75235,0.869802,0.6692,C4
13,./real/1/13r.png,./scatter/1/13s.png,Truncated Tetrahedron,T_d,0.128087,-2.4534,2.77015,0.542151,1.39827,C2
14,./real/1/14r.png,./scatter/1/14s.png,Truncated Octahedron,O_h,0.956484,2.0084,-1.30952,0.357785,1.27003,C4
15,./real/1/15r.png,./scatter/1/15s.png,Truncated Cube,O_h,0.967891,-0.521431,-0.143227,0.339287,1.6426,C3
16,./real/1/16r.png,./scatter/1/16s.png,Dodecahedron,I_h,1.14142,1.62528,-0.54394,0.935143,1.06936,C3
17,./real/1/17r.png,./scatter/1/17s.png,Octahedron,O_h,2.56953,2.19079,0.356791,0.406284,0.660474,C4
18,./real/1/18r.png,./scatter/1/18s.png,Truncated Cuboctahedron,O_h,0.587534,2.67644,-0.375783,0.832386,0.912898,C2
19,./real/1/19r.png,./scatter/1/19s.png,Sphere,SO(3),0,0,0,0.780404,1.28139,{0.64683,-0.540445,-0.538079}
20,./real/1/20r.png,./scatter/1/20s.png,Truncated Cuboctahedron,O_h,0.881523,-3.06827,0.521505,0.329082,1.31282,C4
21,./real/1/21r.png,./scatter/1/21s.png,Icosidodecahedron,I_h,0.558855,1.11,-2.53859,0.678084,1.08865,C2
22,./real/1/22r.png,./scatter/1/22s.png,Truncated Cube,O_h,0.709847,0.922064,-3.08956,0.470811,1.94263,C3
23,./real/1/23r.png,./scatter/1/23s.png,Cuboctahedron,O_h,1.87988,1.10584,-1.57843,0.969099,0.571178,C2
24,./real/1/24r.png,./scatter/1/24s.png,Truncated Twinned Tetrahedron,C_6,2.84159,3.13141,-1.34976,0.925685,1.08028,C2
25,./real/1/25r.png,./scatter/1/25s.png,Octahedron,O_h,0.672204,-2.73441,-2.52888,0.987444,1.01272,C4
26,./real/1/26r.png,./scatter/1/26s.png,Tetrahedron,T_d,2.60269,-3.1281,2.46736,0.448303,1.06383,C3
27,./real/1/27r.png,./scatter/1/27s.png,Potato,None,1.38555,-2.92984,-1.53524,0.332097,,
28,./real/1/28r.png,./scatter/1/28s.png,Decahedron,D_5h,2.06047,1.07359,-1.48113,0.268919,0.728888,C5
29,./real/1/29r.png,./scatter/1/29s.png,Rhombicosidodecahedron,I_h,0.991919,1.66681,-2.06512,0.307674,0.688591,C5
30,./real/1/30r.png,./scatter/1/30s.png,Truncated Dodecahedron,I_h,2.3221,1.70282,2.42673,0.539708,1.85285,C5
31,./real/1/31r.png,./scatter/1/31s.png,Sphere,SO(3),0,0,0,0.473656,1.64132,{0.538804,0.820306,-0.191803}
32,./real/1/32r.png,./scatter/1/32s.png,Sphere,SO(3),0,0,0,0.859299,1.16374,{0.608475,0.672043,0.422038}
33,./real/1/33r.png,./scatter/1/33s.png,Truncated Octahedron,O_h,1.8409,0.594426,1.98565,0.61793,1.44659,C3
34,./real/1/34r.png,./scatter/1/34s.png,Snub Cube,O,1.41282,-0.994885,0.593441,0.560414,0.937143,C3
35,./real/1/35r.png,./scatter/1/35s.png,Snub Cube,O,1.85329,-1.52403,-2.02934,0.389748,0.653517,C4
36,./real/1/36r.png,./scatter/1/36s.png,Truncated Tetrahedron,T_d,1.39674,-2.93455,-2.90096,0.744946,1.34238,C3
37,./real/1/37r.png,./scatter/1/37s.png,Truncated Tetrahedron,T_d,1.05346,1.64639,-2.43202,0.349253,1.58383,C3
38,./real/1/38r.png,./scatter/1/38s.png,Truncated Twinned Tetrahedron,C_6,0.48508,-2.45013,2.81989,0.277908,1.50338,C2
39,./real/1/39r.png,./scatter/1/39s.png,Truncated Tetrahedron,T_d,2.39556,0.0626624,1.77944,0.983181,0.595402,C3
40,./real/1/40r.png,./scatter/1/40s.png,Tetrahedron,T_d,2.0932,0.412647,-0.152826,0.967343,1.03376,C2
41,./real/1/41r.png,./scatter/1/41s.png,Octahedron,O_h,1.76832,-0.507921,-2.21046,0.470131,1.08827,C3
42,./real/1/42r.png,./scatter/1/42s.png,Truncated Cube,O_h,1.0864,1.45882,-0.154585,0.368365,1.29605,C4
43,./real/1/43r.png,./scatter/1/43s.png,Dodecahedron,I_h,1.21293,-2.57491,-0.403176,0.376458,0.828983,C3
44,./real/1/44r.png,./scatter/1/44s.png,Rhombicuboctahedron,O_h,1.49743,1.2724,-0.74392,0.606569,1.64862,C2
45,./real/1/45r.png,./scatter/1/45s.png,Truncated Twinned Tetrahedron,C_6,1.79326,2.87706,-1.03571,0.789174,1.26715,C6
46,./real/1/46r.png,./scatter/1/46s.png,Icosahedron,I_h,1.53279,-0.327716,-2.84903,0.620734,0.77176,C5
47,./real/1/47r.png,./scatter/1/47s.png,Truncated Octahedron,O_h,0.391009,-3.09861,2.49193,0.786988,0.886383,C2
48,./real/1/48r.png,./scatter/1/48s.png,Rhombicuboctahedron,O_h,1.67961,-3.10786,0.99298,0.782112,0.534895,C2
49,./real/1/49r.png,./scatter/1/49s.png,Truncated Twinned Tetrahedron,C_6,2.2519,1.79813,2.19491,0.447753,1.73774,C2
50,./real/1/50r.png,./scatter/1/50s.png,Truncated Cube,O_h,2.60442,1.01468,-0.496786,0.35771,1.32033,C2
51,./real/1/51r.png,./scatter/1/51s.png,Dodecahedron,I_h,2.33118,2.26491,-1.88436,0.266436,1.96493,C3
52,./real/1/52r.png,./scatter/1/52s.png,Dodecahedron,I_h,0.99544,1.10603,1.9051,0.2922,0.607308,C2
53,./real/1/53r.png,./scatter/1/53s.png,Rhombicuboctahedron,O_h,2.12789,1.5154,-2.756,0.768473,1.30128,C4
54,./real/1/54r.png,./scatter/1/54s.png,Cube,O_h,2.77519,2.77713,-0.8902,0.76481,1.30751,C4
55,./real/1/55r.png,./scatter/1/55s.png,Rhombicuboctahedron,O_h,2.60204,-1.60283,1.49472,0.800781,0.564745,C3
56,./real/1/56r.png,./scatter/1/56s.png,Truncated Cuboctahedron,O_h,2.40923,-2.7748,1.02776,0.548716,0.671621,C3
57,./real/1/57r.png,./scatter/1/57s.png,Rhombicosidodecahedron,I_h,1.15734,-2.92369,0.386464,0.670945,1.42492,C2
58,./real/1/58r.png,./scatter/1/58s.png,Truncated Tetrahedron,T_d,2.02275,0.884196,1.11776,0.757791,1.31962,C3
59,./real/1/59r.png,./scatter/1/59s.png,Rhombicuboctahedron,O_h,0.279507,0.49256,-0.132934,0.974538,1.02613,C3
60,./real/1/60r.png,./scatter/1/60s.png,Truncated Octahedron,O_h,2.36593,0.0591605,-2.27557,0.845544,1.18267,C3
61,./real/1/61r.png,./scatter/1/61s.png,Sphere,SO(3),0,0,0,0.658897,1.51769,{0.943684,-0.214178,0.252167}
62,./real/1/62r.png,./scatter/1/62s.png,Icosidodecahedron,I_h,0.285066,3.10969,-1.75081,0.616566,1.62189,C2
63,./real/1/63r.png,./scatter/1/63s.png,Truncated Cube,O_h,2.3649,-1.72569,0.372698,0.456252,0.901175,C3
64,./real/1/64r.png,./scatter/1/64s.png,Truncated Dodecahedron,I_h,1.64034,-0.199062,-0.24889,0.353278,0.938286,C2
65,./real/1/65r.png,./scatter/1/65s.png,Icosidodecahedron,I_h,1.69497,2.69276,0.585159,0.846497,1.09958,C5
66,./real/1/66r.png,./scatter/1/66s.png,Potato,None,3.03544,0.0878877,-1.52457,0.544931,,
67,./real/1/67r.png,./scatter/1/67s.png,Truncated Octahedron,O_h,1.56758,1.53524,2.14398,0.809495,0.503222,C4
68,./real/1/68r.png,./scatter/1/68s.png,Truncated Dodecahedron,I_h,2.72274,2.20119,2.63468,0.564844,0.861254,C5
69,./real/1/69r.png,./scatter/1/69s.png,Truncated Rhombicosidodecahedron,I_h,2.04676,1.39404,-1.49977,0.835599,1.19675,C3
70,./real/1/70r.png,./scatter/1/70s.png,Truncated Rhombicosidodecahedron,I_h,0.788133,-1.04235,0.920498,0.334376,1.47148,C5
71,./real/1/71r.png,./scatter/1/71s.png,Potato,None,1.92392,3.05481,0.474828,0.765937,,
72,./real/1/72r.png,./scatter/1/72s.png,Decahedron,D_5h,2.83999,0.0789965,0.325712,0.439839,1.14332,C5
73,./real/1/73r.png,./scatter/1/73s.png,Rhombicosidodecahedron,I_h,1.47855,-0.519929,-0.672978,0.707543,1.41334,C3
74,./real/1/74r.png,./scatter/1/74s.png,Truncated Dodecahedron,I_h,1.70592,0.244021,2.15608,0.419581,0.851062,C5
75,./real/1/75r.png,./scatter/1/75s.png,Truncated Icosahedron,I_h,2.14488,-3.00105,-2.35359,0.372909,1.27756,C2
76,./real/1/76r.png,./scatter/1/76s.png,Truncated Tetrahedron,T_d,2.54456,0.119607,-2.09753,0.967469,1.03363,C3
77,./real/1/77r.png,./scatter/1/77s.png,Truncated Icosahedron,I_h,2.89462,0.568983,-2.64113,0.877439,1.13968,C3
78,./real/1/78r.png,./scatter/1/78s.png,Tetrahedron,T_d,1.80508,-2.61725,0.983846,0.846031,1.18199,C3
79,./real/1/79r.png,./scatter/1/79s.png,Truncated Tetrahedron,T_d,0.960661,-1.6851,-1.45959,0.714023,1.31337,C2
80,./real/1/80r.png,./scatter/1/80s.png,Sphere,SO(3),0,0,0,0.213418,0.832944,{-0.160875,-0.18496,0.969489}
81,./real/1/81r.png,./scatter/1/81s.png,Cube,O_h,1.5579,-2.15501,2.42529,0.340446,1.12245,C2
82,./real/1/82r.png,./scatter/1/82s.png,Sphere,SO(3),0,0,0,0.900249,1.1108,{0.74512,-0.303587,-0.593828}
83,./real/1/83r.png,./scatter/1/83s.png,Decahedron,D_5h,1.41232,-1.24243,-1.0021,0.451729,0.654865,C5
84,./real/1/84r.png,./scatter/1/84s.png,Sphere,SO(3),0,0,0,0.227534,0.741431,{-0.470719,0.78688,-0.399053}
85,./real/1/85r.png,./scatter/1/85s.png,Cuboctahedron,O_h,1.55786,2.58777,-1.31673,0.858562,1.16474,C3
86,./real/1/86r.png,./scatter/1/86s.png,Snub Cube,O,1.48889,-1.93722,0.100424,0.377624,0.604155,C2
87,./real/1/87r.png,./scatter/1/87s.png,Tetrahedron,T_d,0.999015,-1.98576,0.588484,0.482166,1.17557,C2
88,./real/1/88r.png,./scatter/1/88s.png,Rhombicuboctahedron,O_h,2.15538,-3.01768,0.695998,0.903228,0.778798,C3
89,./real/1/89r.png,./scatter/1/89s.png,Dodecahedron,I_h,0.642505,-0.376657,1.71129,0.961936,1.02994,C5
90,./real/1/90r.png,./scatter/1/90s.png,Truncated Cuboctahedron,O_h,1.79092,0.819187,0.0155731,0.456381,1.75157,C3
91,./real/1/91r.png,./scatter/1/91s.png,Rhombicosidodecahedron,I_h,1.7217,2.28086,-0.863836,0.727563,1.37445,C2
92,./real/1/92r.png,./scatter/1/92s.png,Rhombicosidodecahedron,I_h,0.147234,0.0718142,1.55692,0.618636,1.61646,C3
93,./real/1/93r.png,./scatter/1/93s.png,Truncated Twinned Tetrahedron,C_6,2.02155,0.0180521,-0.758703,0.32931,0.766107,C2
94,./real/1/94r.png,./scatter/1/94s.png,Truncated Icosahedron,I_h,1.17786,2.56523,-0.892435,0.589512,1.69632,C5
95,./real/1/95r.png,./scatter/1/95s.png,Truncated Cube,O_h,0.911306,-1.50516,-1.39471,0.826067,1.21056,C4
96,./real/1/96r.png,./scatter/1/96s.png,Truncated Tetrahedron,T_d,1.40514,2.3452,1.24541,0.903034,1.10738,C2
97,./real/1/97r.png,./scatter/1/97s.png,Truncated Dodecahedron,I_h,1.02667,2.1512,2.1441,0.562275,0.566918,C2
